author,id,title
314,58238,"Sämtliche Werke 1-2 :  Rodion Raskolnikoff (Schuld und Sühne) (German)"
314,38241,"Uncle's Dream; and The Permanent Husband"
314,75698,"Sämtliche Werke 15 :  Helle Nächte : Vier Novellen (German)"
9,2701,"Moby Dick; Or, The Whale"
9,11231,"Bartleby, the Scrivener: A Story of Wall-Street"
9,15,"Moby-Dick; or, The Whale"
9,15859,"The Piazza Tales"
9,10712,"White Jacket; Or, The World on a Man-of-War"
9,34970,"Pierre; or The Ambiguities"
9,21816,"The Confidence-Man: His Masquerade"
9,12384,"Battle-Pieces and Aspects of the War"
9,1900,"Typee: A Romance of the South Seas"
9,8118,"Redburn. His First"
9,58477,"Index of the Project Gutenberg Works of Herman Melville"
9,53861,"The Apple-Tree Table, and Other Sketches"
9,13720,"Mardi: and A Voyage Thither, Vol. I"
9,15422,"Israel Potter: His Fifty Years of Exile"
9,2694,"I and My Chimney"
9,13721,"Mardi: and A Voyage Thither, Vol. II"
9,12841,"John Marr and Other Poems"
9,66684,"Life and Remarkable Adventures of Israel R. Potter"
31855,26184,"Simple Sabotage Field Manual"
492,1259,"Twenty years after"
492,1184,"The Count of Monte Cristo"
492,17989,"Le comte de Monte-Cristo, Tome I (French)"
492,1257,"The three musketeers"
492,13951,"Les trois mousquetaires (French)"
492,2759,"The Man in the Iron Mask"
492,65391,"Il Conte di Monte-Cristo (Italian)"
492,965,"The black tulip"
492,50426,"My Memoirs, Vol. III, 1826 to 1830"
492,2609,"The Vicomte de Bragelonne"
492,17990,"Le comte de Monte-Cristo, Tome II (French)"
492,50768,"My Memoirs, Vol. V, 1831 to 1832"
492,49678,"My Memoirs, Vol. I, 1802 to 1821"
492,2760,"Celebrated Crimes (Complete)"
492,56054,"Les trois mousquetaires, Volume  1 (of 2) (French)"
492,17992,"Le comte de Monte-Cristo, Tome IV (French)"
492,10577,"International Short Stories: French"
492,50113,"My Memoirs, Vol. II, 1822 to 1825"
492,2746,"Urbain G"
492,51105,"My Memoirs, Vol. VI, 1832 to 1833"
492,17991,"Le comte de Monte-Cristo, Tome III (French)"
492,2743,"Massacres of the South (155"
492,2741,"The "
492,2681,"Ten Years Later"
492,74029,"La dama de las camelias; Una familia corsa (Spanish)"
69,1661,"The Adventures of Sherlock Holmes"
69,244,"A Study in Scarlet"
69,2852,"The Hound of the Baskervilles"
69,2097,"The Sign of the Four"
69,834,"The Memoirs of Sherlock Holmes"
69,108,"The Return of Sherlock Holmes"
69,48320,"Adventures of Sherlock Holmes"
69,3289,"The Valley of Fear"
69,139,"The Lost World"
69,2350,"His Last Bow: An Epilogue of Sherlock Holmes"
69,69700,"The case-book of Sherlock Holmes"
69,903,"The White Company"
69,537,"Tales of Terror and Mystery"
69,34079,"Tajemnica Baskerville'ów: dziwne przygody Sherlocka Holmes (Polish)"
69,3069,"The Great Boer War"
69,2038,"The Lock and Key Library: Classic Mystery and Detective Stories: Modern English"
69,62942,"Modern Short Stories: A Book for High Schools"
69,126,"The Poison Belt"
69,294,"The Captain of the Polestar, and Other Tales"
838,6761,"The Adventures of Ferdinand Count Fathom — Complete"
838,2160,"The Expedition of Humphry Clinker"
838,4085,"The Adventures of Roderick Random"
838,4084,"The Adventures of Peregrine Pickle"
838,35621,"A Philosophical Dictionary, Volume 01"
838,2311,"Travels through France and Italy"
838,35625,"A Philosophical Dictionary, Volume 05"
838,19217,"The History of England in Three Volumes, "
838,49726,"The Works of Voltaire, Vol. IV of XLIII."
838,35630,"A Philosophical Dictionary, Volume 10"
838,35627,"A Philosophical Dictionary, Volume 07"
838,35624,"A Philosophical Dictionary, Volume 04"
838,35622,"A Philosophical Dictionary, Volume 02"
838,35626,"A Philosophical Dictionary, Volume 06"
838,35628,"A Philosophical Dictionary, Volume 08"
838,35629,"A Philosophical Dictionary, Volume 09"
838,6758,"The Adventures of Sir Launcelot Greaves"
838,35623,"A Philosophical Dictionary, Volume 03"
838,28884,"A History of England from Early Times: A Linked Index to the Project Gutenberg Editions"
838,42540,"The History of Peter the Great, Emperor of Russia"
838,66677,"The Adventures of Gil Blas of Santillane, Volume 1 (of 3)"
838,6759,"The Adventures of Ferdinand Count Fathom — Volume 01"
838,58572,"Index of the Project Gutenberg Works of Tobias Smollett"
838,66678,"The Adventures of Gil Blas of Santillane, Volume 2 (of 3)"
838,6760,"The Adventures of Ferdinand Count Fathom — Volume 02"
2858,2554,"Crime and Punishment"
2858,28054,"The Brothers Karamazov"
2858,36034,"White Nights and Other Stories"
2858,1399,"Anna Karenina"
2858,13415,"The Lady with the Dog and Other Stories"
2858,8117,"The possessed :  or, The devils"
2858,43302,"The Kingdom of God Is With"
2858,6408,"Letters of Anton Chekhov to His Family and Friends"
2858,1883,"The Wife, and Other Stories"
2858,13505,"The Duel and Other Stories"
2858,13416,"The Darling and Other Stories"
2858,9911,"The Torrents of Spring"
2858,13414,"Love, and Other Stories"
2858,7991,"The Storm"
2858,13409,"The Horse-Stealers and Other Stories"
2858,13417,"The Cook's Wedding and Other Stories"
2858,8744,"A Sportsman's Sketches, Volume 2"
2858,30723,"Fathers and Children"
2858,13413,"The Party and Other Stories"
2858,13412,"The Schoolmaster and Other Stories"
2858,13419,"The Bishop and Other Stories"
2858,8597,"A Sportsman's Sketches"
2858,8935,"Dream Tales and Prose Poems"
2858,6902,"On the eve: A novel"
779,1998,"Thus Spake Zarathustra: A Book for All and None"
779,4363,"Beyond Good and Evil"
779,52319,"The Genealogy of Morals"
779,51356,"The Birth of Tragedy; or, Hellenism and Pessimism"
779,52263,"The Twilight of the Idols; or, How to Philosophize with the Hammer. The Ant"
779,19322,"The Antichrist"
779,38145,"Human, All Too Human: A Book for Free Spirits"
779,52190,"Ecce Homo"
779,7205,"Also sprach Zarathustra: Ein Buch für Alle und Keinen (German)"
779,52914,"The Will to Power: An Attempted Transvaluation of All Values. Book I and II"
779,52881,"The Joyful Wisdom (La Gaya Scienza)"
779,39955,"The Dawn of Day"
779,52915,"The Will to Power: An Attempted Transvaluation of All Values. Book III and IV"
779,60360,"Der Wille zur Macht: Eine Auslegung alles Geschehens (German)"
779,37841,"Human, All-Too-Human: A Book for Free Spirits, Part 2"
779,58025,"Index of the Project Gutenberg Works of Friedrich Nietzsche"
779,51935,"Human, All-Too-Human: A Book for Free Spirits,"
779,25012,"The Case of Wagner, Nietzsche Contra Wagner, and Selected Aphorisms."
779,38226,"Thoughts Out of Season, Part II"
779,7204,"Jenseits von Gut und Böse (German)"
779,52124,"The Joyful Wisdom (La Gaya Sc"
779,52166,"The Case of Wagner"
779,5258,"Ainsi Parlait Zarathoustra (French)"
779,51548,"Early Greek Philosophy &amp; Other Essays"
35,43,"The Strange Case of Dr. Jekyll and Mr. Hyde"
35,120,"Treasure Island"
35,421,"Kidnapped"
